ID,method,hallucinations_count,hallucinations_prop_pred,misorder_inversions,misorder_inversion_fraction,implicit_count,implicit_prop_pred_edges
1724_a,LLM,4,0.5,0,0.0,7,1.0
1724_a,NLP,5,1.0,0,0.0,4,1.0
1759_a,LLM,10,0.5555555555555556,0,0.0,16,0.9411764705882353
1759_a,NLP,1,0.25,0,0.0,3,1.0
1767_a,LLM,0,0.0,0,0.0,0,0.0
1788_a,LLM,4,0.25,0,0.0,8,0.5333333333333333
1788_a,NLP,0,0.0,0,0.0,1,1.0
1804_c,LLM,2,0.2,0,0.0,7,0.7777777777777778
1804_c,NLP,4,0.4,1,0.06666666666666667,9,1.0
1805_a,LLM,1,0.3333333333333333,0,0.0,2,1.0
1813_a,LLM,1,0.08333333333333333,0,0.0,8,0.7272727272727273
1813_a,NLP,0,0.0,0,0.0,3,1.0
1835_a,LLM,2,0.2222222222222222,0,0.0,7,0.875
1835_a,NLP,3,0.3333333333333333,1,0.06666666666666667,8,1.0
1852_e,LLM,1,0.16666666666666666,0,0.0,2,0.4
1852_e,NLP,1,0.25,0,0.0,3,1.0
1857_b,LLM,0,0.0,0,0.0,2,0.5
1857_b,NLP,5,0.5555555555555556,1,0.3333333333333333,8,1.0
1904_a,LLM,1,0.14285714285714285,0,0.0,1,0.16666666666666666
1904_a,NLP,2,1.0,0,0.0,1,1.0
1983_b,LLM,6,0.375,3,0.06666666666666667,15,1.0
1983_b,NLP,0,0.0,0,0.0,1,1.0
